Players,AccountID,[NDC] - Thief ft'Hunter,[NDC] - Revamped,[NDC] - Venom,TotalMaps,Total Time
Ubiteam.DyZroD,1672e2a1-ef21-4fe6-a0a8-cf9448db0086,59.878,1:03.772,58.974,3,3:02.624
Insanity.TM,b09527f2-b61d-4d9a-8cdc-73484590f81f,1:00.807,1:03.675,58.805,3,3:03.287
nehyzo,5af4aba9-72b8-47f6-9c97-e88683b7b5a3,1:00.552,1:04.764,59.725,3,3:05.041
Firestorrm_tm,679c132e-637f-4960-99d3-026345bbd947,1:00.747,1:04.648,59.812,3,3:05.207
v3lv,37800878-70ee-469f-bf6e-168631a5c133,1:01.503,1:05.939,59.871,3,3:07.313
Switch999,d3557ada-6d0c-40be-9208-8587d9293dff,1:01.162,1:04.302,1:01.935,3,3:07.399
Globox_99,53d114f1-db1a-4804-bda8-dd451b69e823,1:03.015,1:06.188,1:01.608,3,3:10.811
PsionicGhost,0467edb3-1850-47b4-a810-8ef4737c8229,1:04.020,1:06.612,1:01.967,3,3:12.599
SPF.Nayko,ae28ce87-8b6f-4c05-bdec-070fc4881f70,1:00.820,1:13.870,59.840,3,3:14.530
mmoreno_4,853b8c42-0293-4a70-8d1d-6b76042abf5d,1:05.608,1:07.967,1:03.178,3,3:16.753
Kwebic,2daa6ec0-d2b4-43c1-a2c3-1a796ba491b0,1:09.083,1:10.294,1:04.446,3,3:23.823
crocPoint,606a611c-4895-44e3-a760-7e3e5458584d,1:05.770,1:08.423,1:13.665,3,3:27.858
XieTM,f2369e8b-0e37-4eaa-9816-abbd4ebd7f14,1:10.663,1:13.428,1:10.058,3,3:34.149
IMT.LylTreck.EC,10f785f3-c749-4567-91c2-52567423e308,1:03.388,1:30.479,1:01.678,3,3:35.545
Brade0n,474529dc-f3cb-48e6-aaf1-f1faafd4fc33,1:12.143,1:22.565,1:10.653,3,3:45.361
JT_421,b502ae07-8d63-485e-9137-1f04e38e05de,1:10.402,1:09.959,1:25.864,3,3:46.225
SPF.Cupra,42cff70e-aef2-4e58-80a4-3b4fda3d94c2,1:00.241,DNF,59.807,2,2:00.048
Primate-repenti,d3640cb5-ab0c-4f42-8961-02bd907fc3f3,1:02.165,1:04.825,DNF,2,2:06.990
VCT.tewbs,f5e37115-d85a-4f3e-bc5a-969d6e29fede,1:27.943,DNF,1:00.122,2,2:28.065
SPF.Hunter,81a0c1ac-74bf-4386-86bd-48adb70b0568,1:00.488,DNF,DNF,1,1:00.488
JuustNiiko,c71b2685-786f-428c-b108-a2336582ceed,1:00.938,DNF,DNF,1,1:00.938
Kakko,eca45ada-7ea1-4232-8195-624a8e174e1a,DNF,DNF,1:01.682,1,1:01.682
RossBarr128,5e6936d7-dace-4bb9-a733-00fe8d839faf,DNF,DNF,1:01.840,1,1:01.840
LentillionTM,e5879f9f-b6e9-4351-8727-4fe0e33dff3d,1:04.542,DNF,DNF,1,1:04.542
OLC.crave,6949918e-d20a-4ae3-b975-543a2398386a,1:04.635,DNF,DNF,1,1:04.635
Purge.Toruss,9ddedd87-2afb-46db-8541-c1b3894facb5,DNF,1:04.678,DNF,1,1:04.678
DoondyTM,90c040a6-e3ec-43d8-a8de-a9f6de065257,DNF,1:06.472,DNF,1,1:06.472
El_Navrom,12c05095-4720-4281-9bfc-0c777930e44e,1:08.214,DNF,DNF,1,1:08.214
Jake.TM,211c053a-b5b7-42ba-b231-aae07e5b458e,DNF,1:08.462,DNF,1,1:08.462
arkane31,ad8d574f-edfb-4814-b91f-427528b1a289,DNF,1:08.472,DNF,1,1:08.472
Rexasaurus13,a2a59490-6834-4ba1-bdb9-ea18097570c8,DNF,1:09.738,DNF,1,1:09.738
BizzleTM,9d43c55f-1c07-4b3d-8c2c-39f7f3953687,DNF,1:16.024,DNF,1,1:16.024
Donspliff,154dcdc7-e7b7-4ec8-aac4-574a77fad0f0,DNF,1:22.190,DNF,1,1:22.190
Gilli___,e24a9c5b-ad4c-4e71-b4e4-8962c5c449d4,DNF,1:27.328,DNF,1,1:27.328
Karlberg.,db3affaa-a69b-4c48-aa48-0d1216e257af,DNF,1:52.026,DNF,1,1:52.026
